"id","sequence","description","invoice_label","name","amount","amount_type","children_tax_ids","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","description@tr","price_include_override","l10n_tr_tax_withholding_code_id"
"tr_s_wh_20_IMH","1","Construction Works and Engineering-Architecture and Survey-Project Services Performed Along with These Works","-8%","WH 20% (4/10) - İMH","-8.0","percent","","none","tr_tax_group_wh_İMH","base","invoice","","+SAL_20_BASE_4_10","Tevkif KDV %20 (4/10) - İMH","tax_excluded","l10n_tr_nilvera_einvoice_extended.l10n_tr_account_tax_code_İMH"
"tr_s_vat_wh_20_VHT","47","sales VAT with Withholding Tax 20% (7/10) - VHT","","WH 20% (7/10) - VHT","0.0","group","tr_s_wh_20_VHT,tr_s_20","sale","tr_tax_group_kdv_20","","","","","Stopajlı Satış KDVsi %20 (7/10) - VHT","",""
"tr_s_vat_wh_20_DLDT","48","sales VAT with Withholding Tax 20% (9/10) - DLDT","","WH 20% (9/10) - DLDT","0.0","group","tr_s_wh_20_DLDT,tr_s_20","sale","tr_tax_group_kdv_20","","","","","Stopajlı Satış KDVsi %20 (9/10) - DLDT","",""
"tr_s_vat_wh_20_OUT","49","sales VAT with Withholding Tax 20% (9/10) - OÜT","","WH 20% (9/10) - OÜT","0.0","group","tr_s_wh_20_OUT,tr_s_20","sale","tr_tax_group_kdv_20","","","","","Stopajlı Satış KDVsi %20 (9/10) - OÜT","",""
"tr_s_vat_wh_20_AUT","50","sales VAT with Withholding Tax 20% (5/10) - AÜT","","WH 20% (5/10) - AÜT","0.0","group","tr_s_wh_20_AUT,tr_s_20","sale","tr_tax_group_kdv_20","","","","","Stopajlı Satış KDVsi %20 (5/10) - AÜT","",""
"tr_s_vat_wh_20_YTH","51","sales VAT with Withholding Tax 20% (2/10) - YTH","","WH 20% (2/10) - YTH","0.0","group","tr_s_wh_20_YTH,tr_s_20","sale","tr_tax_group_kdv_20","","","","","Stopajlı Satış KDVsi %20 (2/10) - YTH","",""
"tr_s_vat_wh_20_TRH","52","sales VAT with Withholding Tax 20% (3/10) - TRH","","WH 20% (3/10) - TRH","0.0","group","tr_s_wh_20_TRH,tr_s_20","sale","tr_tax_group_kdv_20","","","","","Stopajlı Satış KDVsi %20 (3/10) - TRH","",""
"tr_s_vat_wh_20_DT","53","sales VAT with Withholding Tax 20% (2/10) - DT","","WH 20% (2/10) - DT","0.0","group","tr_s_wh_20_DT,tr_s_20","sale","tr_tax_group_kdv_20","","","","","Stopajlı Satış KDVsi %20 (2/10) - DT","",""
"tr_s_vat_wh_20_DCUT","54","sales VAT with Withholding Tax 20% (5/10) - DÇÜT","","WH 20% (5/10) - DÇÜT","0.0","group","tr_s_wh_20_DCUT,tr_s_20","sale","tr_tax_group_kdv_20","","","","","Stopajlı Satış KDVsi %20 (5/10) - DÇÜT","",""
"tr_p_wh_20_IMH","1","Purchasing Construction Works and Engineering-Architecture and Survey-Project Services Performed Along with These Works","-8%","WH 20% (4/10) - İMH","-8.0","percent","","none","tr_tax_group_wh_İMH","base","invoice","","+PUR_20_BASE_4_10","Satın Almada Kesilen KDV %20 (4/10) - İMH","tax_excluded","l10n_tr_nilvera_einvoice_extended.l10n_tr_account_tax_code_İMH"
"","","","","","","","","","","tax","invoice","tr391005","-PUR_20_TAX_4_10","",""
"","","","","","","","","","","base","refund","","-PUR_20_BASE_4_10","",""
